pubkey,amount,locked_amount
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,7319035,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,1002452,0
32tCAD74rE2yzjCXNJMqhFvSDvEGX4xt3nrwa7zyAeRs,1004612,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,5012263,0
3fwAz36Vv3j3LNz8QZZ9j36TBDf6xyEPmCvduskdBt3C,539713,0
3ohG98dVzhQ1tzop3NSDiYdaSnrD82oVKy7Mya3d54TD,60167912,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,28804107,0
5vR26aFfdzTQnfBYBZ1EtrP5gjMARZUqszZL1SJU2t2G,100327,0
7MC4ny783Gxcbe6MmExojgN9CDGCjUPQYgXwnZR3RfCV,4086016,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,19998,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,552958991,0
AVxJ8J22DFPYzeXAAGBDEJiUT6wbxa9i4e6giTkX1ftw,6787764,0
BfcmWBnvD9qPppSwunioKxiRtUhxx3r4XpYDpyG8KBXU,36466,0
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,100023434,0
C7SZPpDQTbeBF2oYStvhNzeH4KeHbHau3Zf5zgW2tiGP,1998717,0
CLLtUbLN5yMaD8ESnUtmwz3YVWEzs2iqzoh4r5FYewR5,458680674,0
Dooy8CRe47hEqDMyqMBNksNUZujwj719u3oYPx39UEm8,39382,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,3307223470,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,62072919,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,10058391,0
GGSsPxHWmUTf2GD2TGG73RJfHQNsEQ3MaDNrbVxhGhB3,205435019,0
Gxoy93jv4759k2mhMSQrTt8keL61bq2WZ1NugWNZZvFd,25976,0
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,2476,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,110369774,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,515554,0
MUSKfxn7RCYEg1r4eEpUjPikC4iCFqhCbg6b5Q7XbK7,81450867,0
zVz7sHuZEFGLtaBwVicT2C5noprN6SdHm8t7L9xNvDR,400488877,0
