pubkey,amount,locked_amount
2Wbv8kjJp76D6CLkCMUU1DMnBiguKGUxvq1Pnk1a6wvo,44530441,0
2hG48v5Bm8FnAiYNHz8VbTQ6xammCf3QkYmUpkShm32y,12052870,0
2mUYwAmFufpiECJFCTfkW8mAfHu8RrhzGGTXWw8VvXqK,5598789,0
3GqRopS7PyxgMnGygMuxKirQgwrQPgqTDt7TBz8Xf2Ap,447904140,0
3LuaXZEDQsUmnozuj4LLKMFKv5vRZY4NySatBTszu2mq,542784795,0
4f1xDGhYQoWW3y8FS8gEbu5S9ivmkkWnAmo5ExakJcpf,250218847,0
4fENRafCoyw42dXn6ujZ72FRHXtZZkxxPCgvZJwY4Ytr,46742908,0
4yZnkohAekrb2fgZUkiKZtLcBpRoZjwVrPpqFNTYuJUr,34535705,0
4zMPX1qQx2Xe9EsSauU1fR7DPZkF6x1H1SrGZgJRTR8B,600082530,0
585XHb7qgXtWqPF5SzcPLvaSghAteXkbBUgfRSaWiSGn,500027990,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,56157374,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,319113807,0
6JV6DzDLUotccXmnVuAYvxZniybzKTfoBHRt2ZrFN722,380416549,0
6YwPV9zHs4AcGmP6HdDukdLn5ofM6yQgoQ7zCCSxwLgh,540949807,0
8DV8bKFpSRYVdvLjd5QGiupMH1eLmGKsARhmoekABVPp,16534401,0
8JprKARijfbT2ubc6dtdhwTuMFLAHDN4xpsB4fdg6r9s,124257856,0
9uYvq3SJCfCgwLRHC9uKVUdhhfb7Vf9JHb2449TobAc1,718777103,0
Amu9XEf26yz3jk5sxciSdDCYnA3hPDf7BDftTcZRhQu5,149774158,0
BMc2nwbsiaUNSecZgyDGxQhkdY72moFjLww4KPhugvPo,10123417675,0
BQBdTWCCxBB2FVu77rYhQsqmJ5avi2yFS1Ax7qr8LauL,1711022559,0
BdBzF73iTDz67ZV7F4bsCmfFeQSY42zdiGFmE2Fh9hGT,13624301,0
CeHfJ3JMYmWstY9nq1iAMqJJ2e4FK9L3mELaPGSQUPwb,75927302,0
CiFvHkqFfabBaqe1EkHGHST8QdB15yqC2TD6V4MMyves,1896,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,137720888,0
DV6ALv6rXMtSSLY3bBQ2rSmyxu6gLn5HwLvP38wYBkPD,50781565,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,32702452,0
EYXD2YVNz6dT3As2d4GxCDEftwWFq5jU73qZEfMpNX9q,150855440707,0
F1wcg7hKXa3kFFhSwLhT34z7fXeP9cHaha9T9TJutdvC,447904242,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,9111,0
FtHzaxxGxDkSFFvVhrEYnSpwyydmxvhdRt724n8mKhXC,712911758,0
HGXhjVAcs5SaKCJpGdpK78Xu7HwL4N5omRH1xdxJHnEi,447904140,0
HKChfUdYTZ8Eazykd7Tc6yh8NiUfLJUwgjhUkEqdVP4k,267941800,0
HQm24TARcxHRotMyvTaBdXzzamSn41ruAUSwLsrHPB2Q,381415859,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,11591505262,0
HX3uREvUQkhYLy5RFnZ3FkJEMmbyUEHWw7mtM7CnxifJ,51945833,0
Ly7bycYh4TYordWHLbow1GZ3k5cqPVBEZVQyuJxcxNC,92940063,0
aQXciw6bKkqVnQ8vArbtiZhnsEcrprGjRjhtAcMWUBD,850050843,0
