pubkey,amount,locked_amount
2HaFu1o6Fm3oRQbJje66n76GwfbEmEQ6VznkV3w8gVXP,36,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,4849,0
2vrY5UypZhAzpqdjxffFqbRSD36efZmXxzEMT26bVHkc,134985,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,798,0
3CnHGfkKbmDSPsZdt8aumk1aqC8NDnoXrBCH1QcTZEty,10587,0
3edao8Z75Pz4R2qsZvZQr1VJipobYWpFZnrLj3m8QJgx,26329,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,542724,0
48Bde4S6CS67fG8Q786hrTEbTYBK7uUVgL7ZB4wWJAQT,38528,0
4GbUrgiR6A91h3J9HHpuYCkZzjwrb62n3BURLeWj6Nic,71835,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,11023847,0
4xZhPy7LTX9x9NTthrBoe6d2nGsfZK2vk96dy2R4SWkf,42531,0
5DYNhjnWmez8bk2h4QM63BL7N5jqsXAdCBjH1eCYdPbQ,10527,0
5PMRZVkrjx96cFxvMq5CUPgcUuvdCneRC8vu3QWeLhjQ,241590,0
5Wu7wbvCXYHrER7tnTyV3SzzMyoDaJoyRNFQVms3kvvg,120306,0
5bEArwcZqhfZap6upHuWj5eR77hmHPVUScR6r78HUrBb,575180,0
5qQQDapGxTorWNpdpnfna8TctJ1UhyoPDRBwZvZWrEB,35364,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,3822,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,511675,0
6fY8f3q655qzHK8oHxP2qkhFh4C1NMVz1CyXvCTAC22a,66656,0
6owmmu4EzqLjzjEYPA9fjX1hEaKYEdhGQ9MnNUydBzTL,1422,0
7oSFSJ9tzTScmM87YVMaBhu1YXQD5if5hoqwfWi9L7ud,15005,0
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,3674393,0
82sNoVE3Kkro7jxYCFFB8bGtnvBswikA3AfpeeqGJVsg,1050,0
8F2swYjZEUjYLi5ZdDLnGNYH9pK5CVjEz5fqr4BqBZPh,1832413,0
8oqhn5qSnqGtPQo33JAmS3siLs7Xb7mdLwzrU8JsCsWv,2175037,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,5242067,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,259,0
AuKtGvphKgw3AG5mRj5Y5dP4aDt8QxQRAabPwmo1bAXL,668,0
BkcoZukBQvMc8ZnoCKbHN664pXFsHBSmR35oxappYJHW,1058601,0
CLLtUbLN5yMaD8ESnUtmwz3YVWEzs2iqzoh4r5FYewR5,1088039,0
CT8XVYtqp3cK9VJrzyqZTvMNR95ttaWAh1jmepJ8HuwD,97334320,0
Ca9tpwpo99cHvnws4H5J44kZ1iC4WDQAShKyve5nicgr,24905,0
D6K76zFrbngKzVBfQGxmsf8319cP3gQWvM9RLRqXY2ar,13685,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,159114,0
DYzay3XLwycauRpWkqzLmZ56ao3PdSSV3wSDNVCwuB5Z,132466,0
DcHnHeuX1XH6YekND7Riui7oWqLuF6xk2uxQnSKSztLB,102489,0
DdCxXy71D9VWnD78MixT7LtbHXJudYhzWrAjdSnLanrc,49308,0
